typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20230101,2023,52,2023,800,UGA,Uganda,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,196.302,False,15,g,196302.0,False,196.3,False,0.0,False,11534493.5,,11534493.5,0,True,False
C,A,20220101,2022,52,2022,251,FRA,France,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.228,False,15,g,3228.0,False,3.0,False,0.0,False,176151.869,,176151.869,0,False,True
C,A,20220101,2022,52,2022,251,FRA,France,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,9900,Other,8,kg,3.228,False,15,g,3228.0,False,3.0,False,0.0,False,176151.869,,176151.869,0,False,True
C,A,20220101,2022,52,2022,410,KOR,Rep. of Korea,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.55,False,8,kg,0.55,False,0.55,False,0.0,False,32726.0,,32726.0,0,True,False
C,A,20220101,2022,52,2022,616,POL,Poland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.544,False,15,g,544.0,False,1.0,False,0.0,False,29307.0,,29307.0,0,True,False
C,A,20160101,2016,52,2016,56,BEL,Belgium,M,Import,854,BFA,Burkina Faso,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,45.329,False,15,g,45329.0,False,45.0,False,0.0,False,1580206.639,0.0,1580206.639,0,True,False
C,A,20160101,2016,52,2016,702,SGP,Singapore,M,Import,854,BFA,Burkina Faso,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,50.0,False,8,kg,50.0,False,50.0,False,,False,522504.961,,522504.961,0,True,False
C,A,20230101,2023,52,2023,56,BEL,Belgium,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9.992,False,15,g,9992.4,False,10.0,False,0.0,False,553435.882,,553435.882,0,True,False
C,A,20230101,2023,52,2023,380,ITA,Italy,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,155.423,False,15,g,155423.0,False,155.0,False,0.0,False,8211424.217,,8211424.217,0,True,False
C,A,20230101,2023,52,2023,380,ITA,Italy,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,155.423,False,15,g,155423.0,False,155.0,False,0.0,False,8211424.217,,8211424.217,0,True,False
C,A,20230101,2023,52,2023,562,NER,Niger,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.0,False,8,kg,2.0,False,2.0,False,0.0,False,26241.959,,26241.959,0,True,False
C,A,20230101,2023,52,2023,699,IND,India,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1934.0,False,8,kg,1934.0,False,1934.0,False,0.0,False,98588316.385,,98588316.385,0,False,True
C,A,20230101,2023,52,2023,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,56586.0,False,8,kg,56586.0,False,56586.0,False,0.0,False,2982693373.462,,2982693373.462,0,False,True
C,A,20230101,2023,52,2023,784,ARE,United Arab Emirates,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7670.146,True,-1,N/A,0.0,False,7670.146,True,0.0,False,471267549.707,,471267549.707,6,True,False
C,A,20230101,2023,52,2023,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,56586.0,False,8,kg,56586.0,False,56586.0,False,0.0,False,2982693373.462,,2982693373.462,0,False,True
C,A,20230101,2023,52,2023,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,56586.0,False,8,kg,56586.0,False,56586.0,False,0.0,False,2982693373.462,,2982693373.462,0,False,True
C,A,20230101,2023,52,2023,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,1000,Air,8,kg,56586.0,False,8,kg,56586.0,False,56586.0,False,0.0,False,2982693373.462,,2982693373.462,0,True,False
C,A,20230101,2023,52,2023,800,UGA,Uganda,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1560.861,False,15,g,1560861.0,False,1561.0,False,0.0,False,97818332.55,,97818332.55,0,True,False
C,A,20240101,2024,52,2024,699,IND,India,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,569.0,False,8,kg,569.0,False,569.0,False,0.0,False,26785782.86,,26785782.86,0,False,True
C,A,20240101,2024,52,2024,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,49627.0,False,8,kg,49627.0,False,49627.0,False,0.0,False,3157501476.828,,3157501476.828,0,False,True
C,A,20240101,2024,52,2024,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,49627.0,False,8,kg,49627.0,False,49627.0,False,0.0,False,3157501476.828,,3157501476.828,0,False,True
C,A,20240101,2024,52,2024,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,49627.0,False,8,kg,49627.0,False,49627.0,False,0.0,False,3157501476.828,,3157501476.828,0,False,True
